id,seasondrill_id,type,ordering,start_date,end_date,description,comment,checked_out,checked_out_time,published
1262,197,44,1099,0000-00-00 00:00:00,0,,,0,5/7/2014 8:03,1
1263,197,54,1100,0000-00-00 00:00:00,0,,,0,5/7/2014 8:03,1
1264,197,69,1101,0000-00-00 00:00:00,0,,,0,5/7/2014 8:03,1
1265,197,49,1102,0000-00-00 00:00:00,0,,,0,5/7/2014 8:04,1
1266,198,129,1103,0000-00-00 00:00:00,0,,,0,5/7/2014 8:05,1
1267,198,1,1104,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1268,198,2,1105,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1269,198,3,1106,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1270,198,4,1107,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1271,198,5,1108,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1272,198,6,1109,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1273,198,7,1110,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1274,198,8,1111,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1275,200,129,1112,0000-00-00 00:00:00,0,,,0,5/9/2014 9:40,1
1276,201,129,1113,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1277,202,129,1114,0000-00-00 00:00:00,0,,,0,5/9/2014 9:45,1
1278,203,129,1115,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1279,204,129,1116,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1281,205,129,1117,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1282,206,129,1118,0000-00-00 00:00:00,0,,,0,5/9/2014 9:47,1
1283,207,129,1119,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1284,209,129,1120,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1285,208,129,1121,0000-00-00 00:00:00,0,,,0,5/9/2014 9:54,1
1286,210,129,1122,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1287,211,129,1123,0000-00-00 00:00:00,0,,,0,5/9/2014 9:54,1
1288,212,129,1124,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1289,199,129,1126,0000-00-00 00:00:00,0,,,0,5/9/2014 9:55,1
1290,180,129,1127,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1291,181,129,1125,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1292,182,129,1128,0000-00-00 00:00:00,0,,,0,5/9/2014 9:57,1
1293,183,129,1129,0000-00-00 00:00:00,0,,,0,5/9/2014 9:58,1
1294,184,27,1130,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1295,185,129,1131,0000-00-00 00:00:00,0,,,0,5/9/2014 9:58,1
1296,199,1,1132,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1297,199,20,1133,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1298,199,21,1134,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1299,199,19,1135,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1300,199,14,1136,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1301,199,6,1137,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1302,199,18,1138,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1303,199,8,1139,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1304,179,27,1140,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1305,179,23,1141,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1306,179,12,1142,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1307,179,20,1143,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1308,179,21,1145,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1309,179,24,1144,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1310,179,19,1146,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1311,179,25,1147,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1312,179,26,1148,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1313,179,6,1149,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1314,212,1,1125,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1315,212,20,1126,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1316,212,21,1127,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1317,211,1,1125,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1318,212,19,1154,0000-00-00 00:00:00,0,,,0,6/20/2014 16:44,1
1319,212,14,1155,0000-00-00 00:00:00,0,,,0,6/20/2014 16:47,1
1320,212,6,1156,0000-00-00 00:00:00,0,,,0,6/20/2014 16:49,1
1321,212,18,1157,0000-00-00 00:00:00,0,,,0,6/20/2014 16:52,1
1322,212,8,1158,0000-00-00 00:00:00,0,,,0,6/20/2014 16:54,1
1323,180,27,1159,NULL,NULL,,,0,0000-00-00 00:00:00,1
1324,180,23,1160,NULL,NULL,,,0,0000-00-00 00:00:00,1
1325,180,12,1161,NULL,NULL,,,0,0000-00-00 00:00:00,1
1326,180,20,1162,NULL,NULL,,,0,0000-00-00 00:00:00,1
1327,180,24,1163,NULL,NULL,,,0,0000-00-00 00:00:00,1
1328,180,21,1164,NULL,NULL,,,0,0000-00-00 00:00:00,1
1329,180,19,1165,NULL,NULL,,,0,0000-00-00 00:00:00,1
1330,180,25,1166,NULL,NULL,,,0,0000-00-00 00:00:00,1
1331,180,26,1167,NULL,NULL,,,0,0000-00-00 00:00:00,1
1332,180,6,1168,NULL,NULL,,,0,0000-00-00 00:00:00,1
1333,181,27,3,0000-00-00 00:00:00,,,,0,0000-00-00 00:00:00,1
1334,181,23,1170,NULL,NULL,,,0,0000-00-00 00:00:00,1
1335,181,12,1171,NULL,NULL,,,0,0000-00-00 00:00:00,1
1336,181,20,1172,NULL,NULL,,,0,0000-00-00 00:00:00,1
1337,181,24,1173,NULL,NULL,,,0,0000-00-00 00:00:00,1
1338,181,21,1174,NULL,NULL,,,0,0000-00-00 00:00:00,1
1339,181,19,1175,NULL,NULL,,,0,0000-00-00 00:00:00,1
1340,181,25,1176,NULL,NULL,,,0,0000-00-00 00:00:00,1
1341,181,26,1177,NULL,NULL,,,0,0000-00-00 00:00:00,1
1342,181,6,1178,NULL,NULL,,,0,0000-00-00 00:00:00,1
1347,201,4,1182,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1343,201,1,1178,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1344,201,12,1179,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1345,201,2,1180,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1346,201,3,1181,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1348,201,5,1183,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1349,201,6,1186,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1350,201,26,1185,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1351,201,18,1187,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1352,201,7,1188,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1353,201,8,1189,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1354,201,13,1184,NULL,NULL,,,0,0000-00-00 00:00:00,1
1355,211,160,1124,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1356,211,20,1191,0000-00-00 00:00:00,0,,,0,6/23/2014 1:22,1
1357,211,21,1192,0000-00-00 00:00:00,0,,,0,6/23/2014 1:24,1
1358,211,14,1194,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1359,211,19,1193,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1360,211,6,1195,0000-00-00 00:00:00,0,,,0,6/23/2014 1:37,1
1361,211,18,1196,0000-00-00 00:00:00,0,,,0,6/23/2014 1:46,1
1362,211,8,1197,0000-00-00 00:00:00,0,,,0,6/23/2014 1:50,1
1363,202,1,1198,NULL,NULL,,,0,0000-00-00 00:00:00,1
1364,202,2,1199,NULL,NULL,,,0,0000-00-00 00:00:00,1
1365,202,3,1200,NULL,NULL,,,0,0000-00-00 00:00:00,1
1366,202,4,1201,NULL,NULL,,,0,0000-00-00 00:00:00,1
1367,202,5,1202,NULL,NULL,,,0,0000-00-00 00:00:00,1
1368,202,6,1203,NULL,NULL,,,0,0000-00-00 00:00:00,1
1369,202,7,1204,NULL,NULL,,,0,0000-00-00 00:00:00,1
1370,202,8,1205,NULL,NULL,,,0,0000-00-00 00:00:00,1
1371,210,12,1206,NULL,NULL,,,0,0000-00-00 00:00:00,1
1372,210,1,1207,NULL,NULL,,,0,0000-00-00 00:00:00,1
1373,210,20,1208,NULL,NULL,,,0,0000-00-00 00:00:00,1
1374,210,21,1209,NULL,NULL,,,0,0000-00-00 00:00:00,1
1375,210,19,1210,NULL,NULL,,,0,0000-00-00 00:00:00,1
1376,210,14,1211,NULL,NULL,,,0,0000-00-00 00:00:00,1
1377,210,6,1212,NULL,NULL,,,0,0000-00-00 00:00:00,1
1378,210,18,1213,NULL,NULL,,,0,0000-00-00 00:00:00,1
1379,210,8,1214,NULL,NULL,,,0,0000-00-00 00:00:00,1
1380,209,1,1215,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1381,209,20,1216,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1382,209,21,1217,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1383,209,19,1218,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1384,209,14,1219,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1385,209,6,1220,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1386,209,18,1221,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1387,209,8,1222,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1388,203,1,1223,NULL,NULL,,,0,0000-00-00 00:00:00,1
1389,203,2,1224,NULL,NULL,,,0,0000-00-00 00:00:00,1
1390,203,3,1225,NULL,NULL,,,0,0000-00-00 00:00:00,1
1391,203,4,1226,NULL,NULL,,,0,0000-00-00 00:00:00,1
1392,203,5,1227,NULL,NULL,,,0,0000-00-00 00:00:00,1
1393,203,6,1228,NULL,NULL,,,0,0000-00-00 00:00:00,1
1394,203,7,1229,NULL,NULL,,,0,0000-00-00 00:00:00,1
1395,203,8,1230,NULL,NULL,,,0,0000-00-00 00:00:00,1
1396,183,27,1231,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1397,183,23,1232,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
1398,183,12,1233,0000-00-00 00:00:00,0,,,0,0000-00-00 00:00:00,1
