,Location,TimeContest,TrackContAvg,ContestAvg,TrackAdj,key
72,Riverhead,Buckets,21.16536585,21.40547967,0.240113821,Riverhead Buckets
73,Riverhead,C Hose,12.615,12.57835484,-0.036645161,Riverhead C Hose
74,Riverhead,C Ladder,8.949285714,8.98197411,0.032688396,Riverhead C Ladder
75,Riverhead,Efficiency,9.148780488,9.103090615,-0.045689873,Riverhead Efficiency
76,Riverhead,Motor Pump,5.95195122,6.167580645,0.215629426,Riverhead Motor Pump
77,Riverhead,Three Man Ladder,6.282325581,6.362211538,0.079885957,Riverhead Three Man Ladder
78,,Three Man Ladder,,,0,Three Man Ladder
79,,B Hose,,,0,B Hose
80,,B Ladder,,,0,B Ladder
81,,Buckets,,,0,Buckets
82,,C Hose,,,0,C Hose
83,,C Ladder,,,0,C Ladder
84,,Efficiency,,,0,Efficiency
85,,Motor Pump,,,0,Motor Pump
86,,Three Man Ladder,,,0,Three Man Ladder
